local_readme_file,section_codes_in_file,codes_not_in_file
AradhanaRaj.bash-handbook.md,",-,1,3,5,6","4,7,8"
aravenel.behance_python.md,",-,1,3,6","4,5,7,8"
ardockgradlescriptkotlinmaster....md,",1,3,5,6","4,7,8"
ArieLeo.Unity-ViewpointComputation.md,"1,3,6","4,5,7,8"
arjunmenon.clappr.md,",1,3,4,5,6,7",8
ArrowMeng.awesome-go.md,",-,1,3,4,5,6,7",8
arsnyder16.CsvReader.md,"1,3,5,6","4,7,8"
arthurka-o.exirc.md,"1,3","4,5,6,7,8"
artisson.zf2-twitter-bootstrap-module.md,"-,1,3,6,8","4,5,7"
arviAgilaThememasterREADME.md.md,",-,1,3,4,5,6,8",7
arvinddagar.acts_as_friendable.md,"1,3,6,7","4,5,8"
ashank.android-flip.md,"1,3,4,5,6","7,8"
ashank.Android-SlideExpandableListView.md,"1,3,4,5,6,7",8
ashank.android_page_curl.md,",1,3,4,6","5,7,8"
ashank.c-geo-opensource.md,"-,3,4,5,6,7","1,8"
ashank.DiskLruCache.md,"3,5","1,4,6,7,8"
ashank.drag-sort-listview.md,"-,1,3,4,5,6,7",8
ashank.PushSharp.md,",-,1,3,4,5,6","7,8"
ashgadala.WordPress-Skeleton.md,"-,1,3","4,5,6,7,8"
ashleyt.chromecast-java-api-v2.md,"1,3,5,6","4,7,8"
asmuth-archive.parallel_cf.md,",-,1,3,5","4,6,7,8"
aspectron.insight.md,"1,3,5,6,7","4,8"
aspineonyamlcppmasterREADME.md.md,"1,3,4,6","5,7,8"
asteriq.skydns.md,",1,3,4,6","5,7,8"
atiq1589.AngularPlus.md,",1,3,5","4,6,7,8"
