file_id,section_id,local_readme_file,heading_markdown,,section_code
9,4,aaksoopenshiftansiblemasterREADME....md,## Subscribe to CentOS,aaksoopenshiftansiblemasterREADME....md## Subscribe to CentOS,
9,5,aaksoopenshiftansiblemasterREADME....md,## Set up Security Group,aaksoopenshiftansiblemasterREADME....md## Set up Security Group,3
9,6,aaksoopenshiftansiblemasterREADME....md,## (Optional) Setup your $HOME/.ssh/config file,aaksoopenshiftansiblemasterREADME....md## (Optional) Setup your $HOME/.ssh/config file,3
9,7,aaksoopenshiftansiblemasterREADME....md,## (Optional) Choose where the cluster will be launched,aaksoopenshiftansiblemasterREADME....md## (Optional) Choose where the cluster will be launched,3
9,8,aaksoopenshiftansiblemasterREADME....md,## Install Dependencies,aaksoopenshiftansiblemasterREADME....md## Install Dependencies,3
9,9,aaksoopenshiftansiblemasterREADME....md,## Test The Setup,aaksoopenshiftansiblemasterREADME....md## Test The Setup,3
9,10,aaksoopenshiftansiblemasterREADME....md,## Creating a cluster,aaksoopenshiftansiblemasterREADME....md## Creating a cluster,1
9,11,aaksoopenshiftansiblemasterREADME....md,## Updating a cluster,aaksoopenshiftansiblemasterREADME....md## Updating a cluster,"1,3"
9,12,aaksoopenshiftansiblemasterREADME....md,## Terminating a cluster,aaksoopenshiftansiblemasterREADME....md## Terminating a cluster,
9,13,aaksoopenshiftansiblemasterREADME....md,## Specifying a deployment type,aaksoopenshiftansiblemasterREADME....md## Specifying a deployment type,3
9,14,aaksoopenshiftansiblemasterREADME....md,## Post-ansible steps,aaksoopenshiftansiblemasterREADME....md## Post-ansible steps,"3,6"
10,1,aammd.metacom.md,### *metacom*: an R package for the analysis of metacommunity structure,aammd.metacom.md### *metacom*: an R package for the analysis of metacommunity structure,1
10,2,aammd.metacom.md,### Install,aammd.metacom.md### Install,3
11,1,abhisheksprakash.ServiceStack.md,"### Simple, Fast, Versatile and full-featured Services Framework","abhisheksprakash.ServiceStack.md### Simple, Fast, Versatile and full-featured Services Framework","1,5,6"
11,2,abhisheksprakash.ServiceStack.md,### [Generate Instant Typed APIs from within all Major IDEs!](https://github.com/ServiceStack/ServiceStack/wiki/Add-ServiceStack-Reference),abhisheksprakash.ServiceStack.md### [Generate Instant Typed APIs from within all Major IDEs!](https://github.com/ServiceStack/ServiceStack/wiki/Add-ServiceStack-Reference),3
11,3,abhisheksprakash.ServiceStack.md,#### [VS.NET integration with ServiceStackVS](https://visualstudiogallery.msdn.microsoft.com/5bd40817-0986-444d-a77d-482e43a48da7),abhisheksprakash.ServiceStack.md#### [VS.NET integration with ServiceStackVS](https://visualstudiogallery.msdn.microsoft.com/5bd40817-0986-444d-a77d-482e43a48da7),"1,6"
11,4,abhisheksprakash.ServiceStack.md,#### [Xamarin Studio integration with ServiceStackXS](https://github.com/ServiceStack/ServiceStack/wiki/CSharp-Add-ServiceStack-Reference#xamarin-studio),abhisheksprakash.ServiceStack.md#### [Xamarin Studio integration with ServiceStackXS](https://github.com/ServiceStack/ServiceStack/wiki/CSharp-Add-ServiceStack-Reference#xamarin-studio),"1,6"
11,5,abhisheksprakash.ServiceStack.md,#### [Xcode integration with ServiceStackXC Plugin](https://github.com/ServiceStack/ServiceStack/wiki/Swift-Add-ServiceStack-Reference),abhisheksprakash.ServiceStack.md#### [Xcode integration with ServiceStackXC Plugin](https://github.com/ServiceStack/ServiceStack/wiki/Swift-Add-ServiceStack-Reference),"-,1"
11,6,abhisheksprakash.ServiceStack.md,#### [Android Studio integration with ServiceStackIDEA](https://github.com/ServiceStack/ServiceStack/wiki/Java-Add-ServiceStack-Reference),abhisheksprakash.ServiceStack.md#### [Android Studio integration with ServiceStackIDEA](https://github.com/ServiceStack/ServiceStack/wiki/Java-Add-ServiceStack-Reference),1
11,7,abhisheksprakash.ServiceStack.md,#### [IntelliJ integration with ServiceStackIDEA](https://github.com/ServiceStack/ServiceStack/wiki/Java-Add-ServiceStack-Reference#install-servicestack-idea-from-the-plugin-repository),abhisheksprakash.ServiceStack.md#### [IntelliJ integration with ServiceStackIDEA](https://github.com/ServiceStack/ServiceStack/wiki/Java-Add-ServiceStack-Reference#install-servicestack-idea-from-the-plugin-repository),"1,6"
11,8,abhisheksprakash.ServiceStack.md,#### [Eclipse integration with ServiceStackEclipse](https://github.com/ServiceStack/ServiceStack.Java/tree/master/src/ServiceStackEclipse#eclipse-integration-with-servicestack),abhisheksprakash.ServiceStack.md#### [Eclipse integration with ServiceStackEclipse](https://github.com/ServiceStack/ServiceStack.Java/tree/master/src/ServiceStackEclipse#eclipse-integration-with-servicestack),"3,6"
11,9,abhisheksprakash.ServiceStack.md,#### [ssutil.exe - Command line ServiceStack Reference tool](https://github.com/ServiceStack/ServiceStack/wiki/Add-ServiceStack-Reference#ssutilexe---command-line-servicestack-reference-tool),abhisheksprakash.ServiceStack.md#### [ssutil.exe - Command line ServiceStack Reference tool](https://github.com/ServiceStack/ServiceStack/wiki/Add-ServiceStack-Reference#ssutilexe---command-line-servicestack-reference-tool),
11,10,abhisheksprakash.ServiceStack.md,## Simple Customer Database REST Services Example,abhisheksprakash.ServiceStack.md## Simple Customer Database REST Services Example,3
11,11,abhisheksprakash.ServiceStack.md,### [Calling the above REST Service from any C#/.NET Client](https://github.com/ServiceStack/ServiceStack/wiki/C%23-client),abhisheksprakash.ServiceStack.md### [Calling the above REST Service from any C#/.NET Client](https://github.com/ServiceStack/ServiceStack/wiki/C%23-client),3
11,12,abhisheksprakash.ServiceStack.md,### [Calling from Swift](https://github.com/ServiceStack/ServiceStack/wiki/Swift-Add-ServiceStack-Reference#jsonserviceclientswift),abhisheksprakash.ServiceStack.md### [Calling from Swift](https://github.com/ServiceStack/ServiceStack/wiki/Swift-Add-ServiceStack-Reference#jsonserviceclientswift),"-,3"
11,13,abhisheksprakash.ServiceStack.md,### [Calling from Java](https://github.com/ServiceStack/ServiceStack/wiki/Java-Add-ServiceStack-Reference#jsonserviceclient-usage),abhisheksprakash.ServiceStack.md### [Calling from Java](https://github.com/ServiceStack/ServiceStack/wiki/Java-Add-ServiceStack-Reference#jsonserviceclient-usage),"-,3"
11,14,abhisheksprakash.ServiceStack.md,### [Calling from Kotlin](https://github.com/ServiceStack/ServiceStack/wiki/Kotlin-Add-ServiceStack-Reference#jsonserviceclient-usage),abhisheksprakash.ServiceStack.md### [Calling from Kotlin](https://github.com/ServiceStack/ServiceStack/wiki/Kotlin-Add-ServiceStack-Reference#jsonserviceclient-usage),"-,3"
11,15,abhisheksprakash.ServiceStack.md,### [Calling from jQuery using TypeScript](https://github.com/ServiceStack/ServiceStack/wiki/TypeScript-Add-ServiceStack-Reference),abhisheksprakash.ServiceStack.md### [Calling from jQuery using TypeScript](https://github.com/ServiceStack/ServiceStack/wiki/TypeScript-Add-ServiceStack-Reference),"-,3"
11,16,abhisheksprakash.ServiceStack.md,### Calling from jQuery,abhisheksprakash.ServiceStack.md### Calling from jQuery,"-,3"
11,17,abhisheksprakash.ServiceStack.md,### Calling the from [Dart JsonClient](https://github.com/mythz/DartJsonClient),abhisheksprakash.ServiceStack.md### Calling the from [Dart JsonClient](https://github.com/mythz/DartJsonClient),3
11,18,abhisheksprakash.ServiceStack.md,## Getting Started,abhisheksprakash.ServiceStack.md## Getting Started,3
11,19,abhisheksprakash.ServiceStack.md,### [Release Notes](https://github.com/ServiceStack/ServiceStack/blob/master/release-notes.md),abhisheksprakash.ServiceStack.md### [Release Notes](https://github.com/ServiceStack/ServiceStack/blob/master/release-notes.md),"-,1,6"
11,20,abhisheksprakash.ServiceStack.md,## Download,abhisheksprakash.ServiceStack.md## Download,3
11,21,abhisheksprakash.ServiceStack.md,### [Install ServiceStack via NuGet](https://servicestack.net/download).,abhisheksprakash.ServiceStack.md### [Install ServiceStack via NuGet](https://servicestack.net/download).,"1,6"
11,22,abhisheksprakash.ServiceStack.md,### [Docs and Downloads for older v3 BSD releases](https://github.com/ServiceStackV3/ServiceStackV3),abhisheksprakash.ServiceStack.md### [Docs and Downloads for older v3 BSD releases](https://github.com/ServiceStackV3/ServiceStackV3),"-,1,6"
11,23,abhisheksprakash.ServiceStack.md,### [Live Demos](https://github.com/ServiceStackApps/LiveDemos),abhisheksprakash.ServiceStack.md### [Live Demos](https://github.com/ServiceStackApps/LiveDemos),"-,1,6"
11,24,abhisheksprakash.ServiceStack.md,## Copying,abhisheksprakash.ServiceStack.md## Copying,
11,25,abhisheksprakash.ServiceStack.md,## Contributing,abhisheksprakash.ServiceStack.md## Contributing,7
11,26,abhisheksprakash.ServiceStack.md,## OSS Libraries used,abhisheksprakash.ServiceStack.md## OSS Libraries used,"1,6"
11,27,abhisheksprakash.ServiceStack.md,## Similar open source projects,abhisheksprakash.ServiceStack.md## Similar open source projects,"1,6"
11,28,abhisheksprakash.ServiceStack.md,## Find out More,abhisheksprakash.ServiceStack.md## Find out More,1
11,29,abhisheksprakash.ServiceStack.md,## ,abhisheksprakash.ServiceStack.md## ,-
11,30,abhisheksprakash.ServiceStack.md,## Core Team,abhisheksprakash.ServiceStack.md## Core Team,6
11,31,abhisheksprakash.ServiceStack.md,## Contributors ,abhisheksprakash.ServiceStack.md## Contributors ,5
12,1,aboks.PHP_CodeSniffer.md,## About,aboks.PHP_CodeSniffer.md## About,1
12,2,aboks.PHP_CodeSniffer.md,## Requirements,aboks.PHP_CodeSniffer.md## Requirements,3
12,3,aboks.PHP_CodeSniffer.md,## Installation,aboks.PHP_CodeSniffer.md## Installation,3
12,4,aboks.PHP_CodeSniffer.md,## Documentation,aboks.PHP_CodeSniffer.md## Documentation,6
12,5,aboks.PHP_CodeSniffer.md,## Issues,aboks.PHP_CodeSniffer.md## Issues,6
12,6,aboks.PHP_CodeSniffer.md,## Contributing,aboks.PHP_CodeSniffer.md## Contributing,7
13,1,adamjerickson.gitbook.md,## Getting started,adamjerickson.gitbook.md## Getting started,"3,6"
13,2,adamjerickson.gitbook.md,## Usage examples,adamjerickson.gitbook.md## Usage examples,"3,6"
13,3,adamjerickson.gitbook.md,## Help and Support,adamjerickson.gitbook.md## Help and Support,"5,6"
13,4,adamjerickson.gitbook.md,## Features,adamjerickson.gitbook.md## Features,1
13,5,adamjerickson.gitbook.md,## Publish your book,adamjerickson.gitbook.md## Publish your book,"3,6"
13,6,adamjerickson.gitbook.md,## Licensing,adamjerickson.gitbook.md## Licensing,5
14,1,adepue.moto.md,# Moto - Mock Boto,adepue.moto.md# Moto - Mock Boto,-
14,2,adepue.moto.md,# In a nutshell,adepue.moto.md# In a nutshell,"1,3"
14,3,adepue.moto.md,### Another Example,adepue.moto.md### Another Example,3
14,4,adepue.moto.md,## Usage,adepue.moto.md## Usage,3
14,5,adepue.moto.md,### Decorator,adepue.moto.md### Decorator,3
14,6,adepue.moto.md,### Context Manager,adepue.moto.md### Context Manager,3
14,7,adepue.moto.md,### Raw use,adepue.moto.md### Raw use,3
14,8,adepue.moto.md,## Stand-alone Server Mode,adepue.moto.md## Stand-alone Server Mode,3
14,9,adepue.moto.md,## Install,adepue.moto.md## Install,3
14,10,adepue.moto.md,## Thanks,adepue.moto.md## Thanks,5
15,1,adover.frontend.md,## We're hiring!,adover.frontend.md## We're hiring!,"5,6"
15,2,adover.frontend.md,# Frontend,adover.frontend.md# Frontend,1
15,3,adover.frontend.md,# Core Development Principles (lines in the sand),adover.frontend.md# Core Development Principles (lines in the sand),3
15,4,adover.frontend.md,## On the server,adover.frontend.md## On the server,"3,6"
15,5,adover.frontend.md,# New developers quick-start,adover.frontend.md# New developers quick-start,"3,6"
15,6,adover.frontend.md,## Local Test Server setup,adover.frontend.md## Local Test Server setup,3
15,7,adover.frontend.md,### Automatic,adover.frontend.md### Automatic,"3,6"
15,8,adover.frontend.md,### Manual,adover.frontend.md### Manual,"-,3"
15,9,adover.frontend.md,#### Configuration files,adover.frontend.md#### Configuration files,"3,6"
15,10,adover.frontend.md,#### [Homebrew](http://brew.sh/),adover.frontend.md#### [Homebrew](http://brew.sh/),"-,3"
15,11,adover.frontend.md,#### A JDK,adover.frontend.md#### A JDK,3
15,12,adover.frontend.md,#### [Node.js](https://github.com/joyent/node/wiki/Installing-Node.js-via-package-manager),adover.frontend.md#### [Node.js](https://github.com/joyent/node/wiki/Installing-Node.js-via-package-manager),"-,3"
15,13,adover.frontend.md,#### Grunt (build tool),adover.frontend.md#### Grunt (build tool),"-,3"
15,14,adover.frontend.md,#### JSPM (package management),adover.frontend.md#### JSPM (package management),3
15,15,adover.frontend.md,#### Ruby >= v1.9.x (use `ruby -v` to check if you have it installed),adover.frontend.md#### Ruby >= v1.9.x (use `ruby -v` to check if you have it installed),3
15,16,adover.frontend.md,#### [bundler](http://gembundler.com/),adover.frontend.md#### [bundler](http://gembundler.com/),"-,3"
15,17,adover.frontend.md,"#### Xcode (if on a Mac, one of the Node modules requires it)","adover.frontend.md#### Xcode (if on a Mac, one of the Node modules requires it)",3
15,18,adover.frontend.md,#### [libpng](http://libpng.org/pub/png/libpng.html),adover.frontend.md#### [libpng](http://libpng.org/pub/png/libpng.html),"-,3"
15,19,adover.frontend.md,#### The frontend code,adover.frontend.md#### The frontend code,3
15,20,adover.frontend.md,### Run the app,adover.frontend.md### Run the app,3
15,21,adover.frontend.md,##IDE setup,adover.frontend.md##IDE setup,3
15,22,adover.frontend.md,###EditorConfig plugin,adover.frontend.md###EditorConfig plugin,3
15,23,adover.frontend.md,###intelliJ metadata,adover.frontend.md###intelliJ metadata,3
15,24,adover.frontend.md,## Troubleshooting,adover.frontend.md## Troubleshooting,"3,6"
15,25,adover.frontend.md,"###NPM ""EACCES""","adover.frontend.md###NPM ""EACCES""",3
15,26,adover.frontend.md,#### Global install permissions errors,adover.frontend.md#### Global install permissions errors,3
15,27,adover.frontend.md,###phantomjs permissions errors (OSX),adover.frontend.md###phantomjs permissions errors (OSX),"-,6"
15,28,adover.frontend.md,"###File handles - ""Too many files open""","adover.frontend.md###File handles - ""Too many files open""",3
15,29,adover.frontend.md,####Linux,adover.frontend.md####Linux,3
15,30,adover.frontend.md,####Mac,adover.frontend.md####Mac,3
15,31,adover.frontend.md,"###""No route to host""","adover.frontend.md###""No route to host""",3
15,32,adover.frontend.md,## Optional steps,adover.frontend.md## Optional steps,3
15,33,adover.frontend.md,###NVM,adover.frontend.md###NVM,
15,34,adover.frontend.md,###Memcached,adover.frontend.md###Memcached,3
15,35,adover.frontend.md,###Nginx,adover.frontend.md###Nginx,6
15,36,adover.frontend.md,###Vagrant,adover.frontend.md###Vagrant,3
15,37,adover.frontend.md,###Client-side development mode,adover.frontend.md###Client-side development mode,3
15,38,adover.frontend.md,## Useful information and hints,adover.frontend.md## Useful information and hints,6
15,39,adover.frontend.md,###Play console,adover.frontend.md###Play console,
15,40,adover.frontend.md,###Endpoints,adover.frontend.md###Endpoints,3
15,41,adover.frontend.md,###Deploying,adover.frontend.md###Deploying,1
15,42,adover.frontend.md,###Debugging,adover.frontend.md###Debugging,3
15,43,adover.frontend.md,## Additional Documentation,adover.frontend.md## Additional Documentation,6
16,1,adtools.clib2.md,# clib2 – An ISO 'C' (1994) compliant runtime library for AmigaOS,adtools.clib2.md# clib2 – An ISO 'C' (1994) compliant runtime library for AmigaOS,-
16,2,adtools.clib2.md,## What is this?,adtools.clib2.md## What is this?,1
16,3,adtools.clib2.md,## What does it do?,adtools.clib2.md## What does it do?,1
16,4,adtools.clib2.md,## What does it not do?,adtools.clib2.md## What does it not do?,1
16,5,adtools.clib2.md,## Where does the source code come from?,adtools.clib2.md## Where does the source code come from?,1
16,6,adtools.clib2.md,## Limitations and caveats,adtools.clib2.md## Limitations and caveats,1
16,7,adtools.clib2.md,"### Floating point math and functions (`scanf()`, `printf()`, etc.)","adtools.clib2.md### Floating point math and functions (`scanf()`, `printf()`, etc.)","3,6"
16,8,adtools.clib2.md,### The thread-safe library,adtools.clib2.md### The thread-safe library,3
16,9,adtools.clib2.md,### Using gmon (PowerPC only),adtools.clib2.md### Using gmon (PowerPC only),3
16,10,adtools.clib2.md,### Implementation defined behaviour,adtools.clib2.md### Implementation defined behaviour,-
16,11,adtools.clib2.md,#### 'C' language,adtools.clib2.md#### 'C' language,"-,3"
16,12,adtools.clib2.md,##### Environment,adtools.clib2.md##### Environment,3
16,13,adtools.clib2.md,##### Characters,adtools.clib2.md##### Characters,
16,14,adtools.clib2.md,##### Floating-point,adtools.clib2.md##### Floating-point,
16,15,adtools.clib2.md,#### Library functions,adtools.clib2.md#### Library functions,1
16,16,adtools.clib2.md,##### `NULL`,adtools.clib2.md##### `NULL`,
16,17,adtools.clib2.md,##### `assert()` diagnostic messages,adtools.clib2.md##### `assert()` diagnostic messages,3
16,18,adtools.clib2.md,## Label | Meaning,adtools.clib2.md## Label | Meaning,
16,19,adtools.clib2.md,##### Signal handling,adtools.clib2.md##### Signal handling,"3,6"
16,20,adtools.clib2.md,##### Files,adtools.clib2.md##### Files,3
